answer,clue
ELIJAH,Prophet who defeated the prophets of Baal on Mount Carmel
ELIMELECH,Husband of Naomi who died in Moab
ELIPHAZ,One of Job's three friends
ELISHA,Prophet who succeeded Elijah and performed many miracles
ELKANAH,Father of Samuel the prophet
ENOSH,Son of Seth and grandson of Adam
EPAPHRAS,Fellow prisoner with Paul who preached at Colossae
EPHRAIM,Son of Joseph and ancestor of a tribe of Israel
ER,First son of Judah who was wicked in God's sight
ESAU,Eldest son of Isaac who sold his birthright
ESTHER,Jewish queen who saved her people from destruction
ETHAN,Wise man mentioned alongside Solomon's wisdom
EVE,First woman created from Adam's rib
EZEKIEL,Prophet who saw visions of God and the dry bones
EZRA,Scribe who led the return from exile and restored the law
FELIX,Roman governor who heard Paul's case
GABRIEL,Archangel who announced the births of John and Jesus
GAD,Prophet who advised David and recorded his acts
GIDEON,Judge who defeated the Midianites with 300 men
GOLIATH,Philistine giant killed by David
HABAKKUK,Prophet who asked why the wicked prosper
HAGAR,Servant of Sarah who bore Ishmael to Abraham
HAGGAI,Prophet who encouraged rebuilding the temple
HAM,Son of Noah who saw his father's nakedness
HANANI,Seer who rebuked King Asa of Judah
HANNAH,Mother of Samuel who dedicated him to God
Hazael,Syrian king who was anointed by Elijah
HEBER,Kenite whose wife Jael killed Sisera
HEZEKIAH,King of Judah who was healed and extended his life
HIRAM,King of Tyre who helped build Solomon's temple
HOSEA,Prophet who married a prostitute as a sign to Israel
HUR,Companion of Moses who held up his hands during battle
HUSHAI,Friend of David who frustrated Ahithophel's counsel
ISHBOSHETH,Son of Saul who reigned over Israel for two years
ISHMAEL,First son of Abraham born to Hagar
ISRAEL,New name given to Jacob after wrestling with God
JABEZ,Man who prayed for blessing and expansion
JACOB,Younger twin who stole his brother's blessing
JAMES,Brother of John and son of Zebedee
JAPHETH,Son of Noah who was father of the Gentiles
JARED,Ancestor of Noah who lived 962 years
JASON,Thessalonian Christian who hosted Paul
JEBUSITES,Inhabitants of Jerusalem before David
JEHOAHAZ,King of Israel who was captured by the Syrians
JEHOASH,King of Judah who was hidden as a child
JEHOIACHIN,King of Judah who was taken to Babylon
JEHOIAKIM,King of Judah who burned Jeremiah's scroll
JEHORAM,King of Judah who married Athaliah
JEHOSHAPHAT,King of Judah who allied with Ahab
JEHU,King of Israel who destroyed the house of Ahab
JEPHTHAH,Judge who made a foolish vow about his daughter
JEREMIAH,Prophet who was thrown into a cistern
JEROBoam,First king of the northern kingdom of Israel
JESSE,Father of King David the Bethlehemite
JESUS,Savior born in Bethlehem who died for our sins
JEZEBEL,Wicked queen who persecuted the prophets of God
JOASH,Boy king of Judah who was hidden in the temple
JOB,Righteous man who suffered great trials
JOEL,Prophet who spoke of the coming of the Holy Spirit
JOHN,Apostle who wrote the fourth gospel
JONAH,Prophet who was swallowed by a great fish
JONATHAN,Son of Saul who was David's close friend
JOSEPH,Son of Jacob who was sold into slavery by his brothers
JOSHUA,Successor of Moses who led Israel into Canaan
JOSIAH,Boy king who found the book of the law
JOTHAM,King of Judah who defeated the Ammonites
JUBAL,Father of all who play the harp and organ
JUDAH,Fourth son of Jacob ancestor of the royal tribe
JUDAS,Disciple who betrayed Jesus for thirty pieces of silver
KETURAH,Wife Abraham took after Sarah's death
KING AGG,Amalekite king defeated by Saul
KISH,Father of Saul from the tribe of Benjamin
LABAN,Brother of Rebekah who deceived Jacob
LAZARUS,Friend of Jesus whom he raised from the dead
LEAH,Older daughter of Laban who became Jacob's wife
LEVI,Third son of Jacob and ancestor of the priestly tribe
LOIS,Grandmother of Timothy who had sincere faith
LOT,Nephew of Abraham who lived in Sodom
LUKE,Physician who wrote the third gospel
LYDIA,Seller of purple cloth who was Paul's first convert in Europe
MAHER-SHALAL-HASH-BAZ,Son of Isaiah with a prophetic name
MALACHI,Last prophet of the Old Testament
MANASSEH,Eldest son of Joseph and ancestor of a tribe
MARCUS,Alternative name for Mark the evangelist
MARY,Mother of Jesus who was a virgin when she conceived
MATTHEW,Tax collector who became an apostle
MATTHIAS,Disciple chosen to replace Judas Iscariot
MELCHIZEDEK,King of Salem who blessed Abraham
MEPHIBOSHETH,Grandson of Saul who was lame in both feet
MICAH,Prophet who foretold the birthplace of the Messiah
MICHAL,Daughter of Saul who became David's wife
MIRIAM,Sister of Moses who led the women in song
MOSES,Lawgiver who led Israel out of Egypt through the Red Sea
NAAMAN,Syrian commander who was healed of leprosy
NABAL,Wealthy but harsh man whose wife became David's wife
NADAB,Eldest son of Aaron who died for offering strange fire
NAHOR,Brother of Abraham who lived in Haran
NAHUM,Prophet who foretold the fall of Nineveh
NATHAN,Prophet who rebuked David for his sin with Bathsheba
NEBUCHADNEZZAR,Babylonian king who destroyed Jerusalem
NEHEMIAH,Cupbearer to Artaxerxes who rebuilt Jerusalem's walls
NER,Father of Abner the commander of Saul's army
NICODEMUS,Pharisee who came to Jesus by night
NOAH,Righteous man who built the ark and survived the flood
OBADIAH,Prophet who wrote the shortest book in the Old Testament
OBED,Grandfather of David and father of Jesse
OMAR,Grandson of Esau who became a chief
OMRI,King of Israel who built Samaria
ONESIMUS,Runaway slave who became a Christian and returned to his master
PAUL,Apostle to the Gentiles who wrote many New Testament letters
PERSIS,Woman commended by Paul for her hard work in the Lord
PETER,Disciple who denied Jesus three times but became a leader
PHARAOH,King of Egypt who refused to let Israel go
PHILEMON,Master of Onesimus who received Paul's letter
PHILIP,Deacon who evangelized Samaria and baptized the Ethiopian
PHILIPPIAN,Inhabitant of the city where Paul was imprisoned
PONTIUS PILATE,Roman governor who sentenced Jesus to death
POTIPHAR,Captain of Pharaoh's guard who bought Joseph
PRISCILLA,Woman who taught Apollos with her husband Aquila
PUBLIUS,Chief official of Malta who was healed by Paul
RACHEL,Wife of Jacob who died giving birth to Benjamin
RAHAB,Prostitute of Jericho who helped the Israelite spies
REBEKAH,Wife of Isaac who favored Jacob over Esau
REHOBOAM,Son of Solomon whose harsh policies split the kingdom
REUBEN,Eldest son of Jacob who slept with his father's concubine
RIZPAH,Daughter of Aiah who protected her sons' bodies
RUTH,Moabite woman who became the great-grandmother of David
SALOME,Woman who danced and asked for John's head on a platter
SAMSON,Judge of Israel who was betrayed by Delilah
SAMUEL,Last judge of Israel who anointed Saul and David
SARAH,Wife of Abraham who bore Isaac in her old age
SAUL,First king of Israel who was rejected by God
SETH,Third son of Adam and Eve born after Abel's death
SHADRACH,Hebrew name of Hananiah who survived the fiery furnace
SHEALTIEL,Father of Zerubbabel who led the return from exile
SHEM,Son of Noah who was the ancestor of Abraham
SILAS,Companion of Paul who was imprisoned with him in Philippi
SIMEON,Devout man who blessed the infant Jesus in the temple
SISERA,Canaanite general who was killed by Jael
SOLOMON,Wisest king of Israel who built the first temple
STEPHEN,First Christian martyr who was stoned to death
SUSANNA,Woman who was falsely accused and saved by Daniel
TAMAR,Daughter-in-law of Judah who tricked him into fathering her children
TERAH,Father of Abraham who lived in Ur of the Chaldeans
THADDAEUS,One of the twelve apostles also called Judas
THOMAS,Disciple who doubted the resurrection until he saw Jesus
TIMOTHY,Young pastor mentored by Paul
TITUS,Gentile companion of Paul who helped organize churches
TOLA,Judge of Israel who was the son of Puah
TRYPHENA,Woman commended by Paul for her work in the Lord
TUBAL-CAIN,Metalworker mentioned in Genesis
URIAH,Hittite husband of Bathsheba whom David had killed
UZZIAH,King of Judah who was struck with leprosy
VASHTI,Queen of Persia who refused to appear before the king
ZACCHAEUS,Short tax collector who climbed a sycamore tree
ZACHARIAS,Father of John the Baptist who was struck dumb
ZADOK,High priest who anointed Solomon as king
ZEBEDEE,Father of James and John the apostles
ZEBULUN,Sixth son of Jacob and ancestor of a tribe
ZECHARIAH,Prophet who encouraged rebuilding the temple
ZEDEKIAH,Last king of Judah who was blinded and taken to Babylon
ZEPHANIAH,Prophet who spoke of the day of the Lord
ZERUBBABEL,Leader who rebuilt the temple after the exile
ZIBA,Servant of Mephibosheth who accused him of treason
ZIMRI,King of Israel who reigned for only seven days
GENESIS,First book of the Bible that tells of creation
EXODUS,Book that tells of Israel's deliverance from Egypt
LEVITICUS,Book containing detailed laws for the priests
NUMBERS,Book that counts the Israelites in the wilderness
DEUTERONOMY,Book containing Moses' farewell speeches
JOSHUA,Book telling of Israel's conquest of Canaan
JUDGES,Book about Israel's cycles of sin and deliverance
RUTH,Book about a Moabite woman who became David's ancestor
1SAMUEL,Book about the transition from judges to kings
2SAMUEL,Book about the reign of King David
1KINGS,Book about the kingdoms of Israel and Judah
2KINGS,Book about the fall of Israel and Judah
1CHRONICLES,Book that retells Israel's history from Adam to David
2CHRONICLES,Book that continues the history of Judah's kings
EZRA,Book about the return from Babylonian exile
NEHEMIAH,Book about rebuilding Jerusalem's walls
ESTHER,Book about a Jewish queen who saved her people
JOB,Book about a righteous man who suffered greatly
PSALMS,Book of 150 songs and prayers
PROVERBS,Book of wise sayings attributed to Solomon
ECCLESIASTES,Book that questions the meaning of life
SONGOFSOLOMON,Book celebrating romantic love
ISAIAH,Book of prophecy about the coming Messiah
JEREMIAH,Book about a prophet who wept for his people
LAMENTATIONS,Book of poems mourning Jerusalem's destruction
EZEKIEL,Book containing visions of God's glory
DANIEL,Book about faith in a foreign court
HOSEA,Book about a prophet's marriage as a symbol
JOEL,Book prophesying about the day of the Lord
AMOS,Book about social justice and judgment
OBADIAH,Shortest book in the Old Testament about Edom
JONAH,Book about a reluctant prophet and a great fish
MICAH,Book prophesying about Bethlehem and justice
NAHUM,Book about the fall of Nineveh
HABAKKUK,Book asking why the wicked prosper
ZEPHANIAH,Book about the day of the Lord's judgment
HAGGAI,Book encouraging rebuilding the temple
ZECHARIAH,Book about rebuilding and coming glory
MALACHI,Last book of the Old Testament
MATTHEW,First gospel telling of Jesus' life and teaching
MARK,Shortest gospel emphasizing Jesus' actions
LUKE,Gospel written by a physician
JOHN,Gospel emphasizing Jesus' divine nature
ACTS,Book about the early church and Holy Spirit
ROMANS,Paul's letter about justification by faith
1CORINTHIANS,Paul's letter correcting church problems
2CORINTHIANS,Paul's letter defending his apostleship
GALATIANS,Paul's letter about Christian freedom
EPHESIANS,Paul's letter about the church as Christ's body
PHILIPPIANS,Paul's letter of joy from prison
COLOSSIANS,Paul's letter about Christ's supremacy
1THESSALONIANS,Paul's letter about Christ's return
2THESSALONIANS,Paul's letter clarifying the day of the Lord
1TIMOTHY,Paul's letter to a young pastor
2TIMOTHY,Paul's final letter before martyrdom
TITUS,Paul's letter about church organization
PHILEMON,Paul's letter about a runaway slave
HEBREWS,Letter about Christ's superiority to the old covenant
JAMES,Letter about faith demonstrated through works
1PETER,Letter about suffering as a Christian
2PETER,Letter warning against false teachers
1JOHN,Letter about love and fellowship with God
2JOHN,Letter warning against false teachers
3JOHN,Letter commending Gaius and warning against Diotrephes
JUDE,Letter warning against false teachers
REVELATION,Last book of the Bible about end times
EDEN,Perfect garden where Adam and Eve lived
ARAM,Region where Abraham's family settled
CANAAN,Promised land flowing with milk and honey
EGYPT,Land where Israel was enslaved for 400 years
SINAI,Mountain where Moses received the Ten Commandments
HOREB,Mountain where God appeared to Moses in the burning bush
ARARAT,Mountain where Noah's ark came to rest
NEBO,Mountain from which Moses saw the Promised Land
CARMEL,Mountain where Elijah defeated the prophets of Baal
HERMON,Mountain mentioned in Psalm 133 about unity
GERIZIM,Mountain of blessing in Deuteronomy
EBAL,Mountain of cursing in Deuteronomy
MORIAH,Mountain where Abraham offered Isaac
ZION,Hill in Jerusalem where the temple was built
OLIVET,Mountain east of Jerusalem where Jesus prayed
GOLGOTHA,Place where Jesus was crucified
GETHSEMANE,Garden where Jesus prayed before his arrest
BETHLEHEM,Town where Jesus was born
NAZARETH,Town where Jesus grew up
CAPERNAUM,City that became Jesus' ministry headquarters
BETHANY,Village where Mary Martha and Lazarus lived
JERICHO,City whose walls fell down at Joshua's command
AI,City defeated by Joshua after initial failure
HEBRON,City where David first reigned over Judah
BEERSHEBA,Southernmost city of Israel
DAN,Northernmost city of Israel
GALILEE,Region where Jesus performed many miracles
SAMARIA,Capital of the northern kingdom
JUDEA,Southern kingdom after the division
JERUSALEM,Holy city and capital of Israel
BABYLON,City that destroyed Jerusalem and took Israel captive
NINEVEH,Capital of Assyria that Jonah was sent to
UR,City where Abraham lived before his call
HARAN,City where Abraham's family settled
SHECHEM,City where Joshua renewed the covenant
GILGAL,Place where Israel camped after crossing the Jordan
JERICHO,First city conquered in Canaan
AI,City that initially defeated Israel due to Achan's sin
HESHBON,City taken from Sihon king of the Amorites
KEDESH,City of refuge in Galilee
BETHEL,Place where Jacob saw the ladder to heaven
PENIEL,Place where Jacob wrestled with God
MAHANAIM,Place where Jacob met the angels of God
SUKKOTH,Place where Jacob built booths for his cattle
GOSHEN,Region in Egypt where Israel lived
RAAMSES,City built by Israelite slaves in Egypt
PITHOM,Storage city built by Israelite slaves
REDSEA,Body of water parted by Moses
JORDAN,River that Israel crossed to enter Canaan
DEADSEA,Salt lake at the southern end of the Jordan
SEAOFGALILEE,Lake where Jesus calmed the storm
NILE,River that turned to blood in the plagues
EUPHRATES,River mentioned in God's promise to Abraham
TIGRIS,River near the Garden of Eden
HIDDEKEL,Ancient name for the Tigris River
PISHON,River that flowed around the land of Havilah
GIHON,River that flowed around the land of Cush
KISHON,River where Elijah killed the prophets of Baal
ARBON,River mentioned in Deuteronomy
AMON,River in Moab mentioned by Isaiah
CHEBAR,River in Babylon by which Ezekiel saw his vision
ABANA,River of Damascus mentioned by Naaman
PHARPAR,River of Damascus mentioned by Naaman
CREATION,God's work of making the universe in six days
FALL,When Adam and Eve ate the forbidden fruit
FLOOD,When God destroyed the earth with water
COVENANT,Binding agreement between God and his people
CIRCUMCISION,Sign of God's covenant with Abraham
PASSOVER,Feast commemorating deliverance from Egypt
EXODUS,Israel's departure from Egyptian slavery
REDCROSSING,When Israel crossed the sea on dry ground
MANNA,Bread from heaven that fed Israel in the wilderness
QUAIL,Birds God provided when Israel complained about manna
WATERFROMROCK,Miracle that provided water in the wilderness
BRAZENSERPENT,Bronze snake that healed those who looked at it
TENCOMMANDMENTS,Law given to Moses on Mount Sinai
GOLDENCALF,Idol Israel worshipped while Moses was on the mountain
TABERNACLE,Portable sanctuary in the wilderness
SACRIFICE,Offering made to God for sin
ATONEMENT,When the high priest entered the Most Holy Place
JUBILEE,Year of release and restoration every 50 years
CONQUEST,When Israel took possession of Canaan
JERICHO,First city conquered with marching and trumpets
SUNSTANDSTILL,Miracle when Joshua defeated the Amorites
DIVISION,When the kingdom split into Israel and Judah
EXILE,When Israel was taken captive to foreign lands
RETURN,When Israelites came back from Babylon
TEMPLE,House of God built by Solomon in Jerusalem
DEDICATION,When the temple was consecrated to God
SHEKINAH,Glory of God that filled the temple
PROPHETS,God's messengers who called Israel to repentance
BAPTISM,John's ministry of washing for repentance
TEMPTATION,When Jesus was tested in the wilderness
TRANSFIGURATION,When Jesus' glory was revealed on the mountain
CRUCIFIXION,When Jesus was nailed to the cross
RESURRECTION,When Jesus rose from the dead on the third day
ASCENSION,When Jesus returned to heaven
PENTECOST,When the Holy Spirit was poured out on the disciples
CONVERSION,When Paul met Jesus on the road to Damascus
MISSIONS,Paul's journeys to preach the gospel to Gentiles
PERSECUTION,Suffering endured by early Christians
MARTYR,One who dies for their faith
REVELATION,God's unveiling of future events
SECONDCOMING,When Jesus will return to judge the world
JUDGMENT,When God will judge all people
HEAVEN,Eternal home of the righteous
HELL,Place of eternal punishment for the wicked
NEWJERUSALEM,Perfect city that will come down from heaven
ARK,Noah's vessel that survived the flood
ALTAR,Place where sacrifices were offered
TABLETS,Stone slabs containing the Ten Commandments
MANNA,Bread from heaven in the wilderness
ROD,Staff used by Moses to perform miracles
SERPENT,Creature that deceived Eve in the garden
FIGLEAVES,First clothing made by Adam and Eve
THORNS,Curse that came upon the ground after the fall
RAINBOW,Sign of God's covenant with Noah after the flood
TOWER,Structure built at Babel to reach heaven
LADDER,Jacob's vision connecting earth to heaven
WELL,Place where Isaac's servants found water
COAT,Garment Joseph received from his father
PIT,Place where Joseph's brothers threw him
SILVER,Money Joseph's brothers used to buy grain
CUP,Joseph's cup he hid in Benjamin's sack
BLOOD,Lamb's blood on doorposts at Passover
SEA,Body of water parted for Israel's escape
PILLAR,Cloud and fire that guided Israel
TABLE,Piece of furniture in the tabernacle
LAMPSTAND,Golden menorah in the tabernacle
ALTAR,Place of sacrifice in the tabernacle
VEIL,Curtain separating Holy from Most Holy Place
CENSER,Vessel for burning incense
Ephod,Garment worn by the high priest
BREASTPLATE,Piece of priestly clothing with twelve stones
MITRE,Head covering of the high priest
URIM,Means of determining God's will
THUMMIM,Means of determining God's will with Urim
TRUMPET,Instrument used to call Israel together
TRUMPETS,Feast celebrated with trumpet blasts
DAYOFATONEMENT,Most solemn day in Israel's calendar
BOOTHS,Temporary shelters used at the Feast of Tabernacles
SCAPEGOAT,Goat that carried Israel's sins into the wilderness
JUBILEE,Year of liberty and restoration
CITIES,Places of refuge for those who killed accidentally
BOUNDARY,Line that marked the inheritance of each tribe
INHERITANCE,Land given to each tribe of Israel
CENSUS,Counting of the people of Israel
CAMP,Place where Israel lived in the wilderness
CLOUD,Sign of God's presence over the tabernacle
FIRE,Sign of God's presence at night
MANNA,Bread from heaven that tasted like honey
QUAIL,Birds that covered the camp
WATER,That came from the rock when struck
ROD,That budded to show Aaron's priesthood
BRONZE,Serpent that healed those who looked
CENSER,Used by Korah and his followers
EARTH,That opened to swallow Korah's rebellion
FIRE,That consumed Nadab and Abihu
PLAGUES,Judgments God sent upon Egypt
DARKNESS,Plague that lasted three days
HAIL,Plague that destroyed Egypt's crops
LOCUSTS,Plague that ate what the hail left
FROGS,Plague that came up from the Nile
LICE,Plague that came from the dust
FLIES,Plague that tormented Egypt
MURRAIN,Plague that killed Egypt's livestock
BOILS,Plague that afflicted Egyptians and animals
BLOOD,First plague that turned the Nile red
FIRSTBORN,Plague that finally made Pharaoh let Israel go
PASSOVER,Feast that protected Israel from the final plague
UNLEAVENED,Bread eaten during Passover week
REDSEA,Sea that Israel crossed on dry ground
WALLS,Of water on both sides as Israel crossed
EGYPTIANS,Who were drowned in the sea
MIRIAM,Sister of Moses who led the women in song
TIMBREL,Musical instrument played by Miriam
SONG,That Moses and Israel sang after crossing
MOUNTAIN,Where God gave the Ten Commandments
THUNDER,And lightning when God descended
TRUMPET,Sound that grew louder and louder
VOICE,Of God speaking the commandments
ALTAR,That Moses built at the foot of the mountain
BLOOD,That Moses sprinkled on the people
TABLETS,Of stone written by God's finger
GOLDEN,Image that Israel worshipped
CALF,Idol that Aaron made
MOSES,Who broke the tablets in anger
LEVITES,Who stood with Moses against the people
SWORD,Used to execute those who worshipped the idol
TABERNACLE,Portable sanctuary built in the wilderness
OFFERING,That Israel brought willingly for the sanctuary
GOLD,Silver and bronze given for the sanctuary
LINEN,Fine material for the priestly garments
OIL,For the lampstand and anointing
SPICES,For the anointing oil and incense
STONES,Precious gems for the priestly garments
ONYX,Stones on the shoulders of the ephod
BREASTPLATE,With twelve precious stones
URIM,And Thummim for determining God's will
CLOUD,That covered the tabernacle when it was finished
GLORY,Of the Lord that filled the tabernacle
FIRE,That came out from before the Lord
NADAB,And Abihu who died for offering strange fire
SOBER,Warning about not drinking when entering the sanctuary
HOLY,Place where God's presence dwelt
MOSTHOLY,Place where the ark of the covenant was kept
VEIL,That separated the holy from the most holy
ALTAR,Of burnt offering in the courtyard
LAVERS,Where priests washed their hands and feet
COURTYARD,Area around the tabernacle
PILLARS,That held up the courtyard curtain
GATE,Entrance to the tabernacle courtyard
TRUMPETS,Silver instruments used to call the assembly
STANDARDS,Banners for each tribe's camp
TRIBES,Twelve divisions of Israel
LEVITES,Set apart for tabernacle service
PRIESTS,Sons of Aaron who offered sacrifices
HIGHPRIEST,Who entered the most holy place once a year
DAY,Of atonement when sins were covered
SCAPEGOAT,That carried away Israel's sins
JUBILEE,Year of release every fifty years
CENSUS,Numbering of Israel's fighting men
TRIBE,Of Levi not numbered with the others
FIRSTBORN,Who belonged to the Lord instead of the Levites
REDEMPTION,Price paid for the firstborn
NAZIRITE,Who took a special vow of separation
SAMSON,Famous Nazirite with great strength
SAMUEL,Last judge and first prophet
ELI,High priest who raised Samuel
HANNAH,His mother who prayed for a son
SHILOH,Where the tabernacle was set up
ARK,Of the covenant that was captured
PHILISTINES,Who took the ark of the covenant
DAGON,Whose image fell before the ark
TUMORS,Plague that afflicted the Philistines
MICE,That ravaged their land
EBENEZER,Stone raised by Samuel saying thus far has the Lord helped us
KING,That Israel demanded despite God's warning
SAUL,First king of Israel from Benjamin
TALL,Physical description of Saul
HIDDEN,How Saul was when they tried to make him king
VICTORY,That God gave Israel through Saul over Ammon
JONATHAN,Saul's son who loved David
ARMOR,That Saul offered to David for fighting Goliath
DAVID,Shepherd boy who defeated Goliath
SLING,Weapon David used against Goliath
STONE,That struck Goliath in the forehead
SWORD,That David used to cut off Goliath's head
PHILISTIA,Land of Israel's enemies
GOLIATH,Giant who defied Israel
CHAMPION,Of the Philistines
SHAME,That covered Saul's face for not fighting
HEART,Of David after God's own heart
HARPS,That David played to soothe Saul
SPEAR,That Saul threw at David
JONATHAN,Who made a covenant with David
ROBE,That Jonathan gave to David
SECRET,Agreement between Jonathan and David
ARROW,Signal Jonathan used to warn David
FLIGHT,Of David from Saul's anger
PRIEST,Ahimelech who helped David
SHOWBREAD,That David ate when fleeing
GOLIATH,Sword that David took
DOEG,Edomite who killed the priests
KEILAH,City that David saved from Philistines
ABIATHAR,Only priest who escaped Doeg's massacre
ZIF,Wilderness where David fled
ENGEDI,Where David spared Saul's life
CAVE,Where David cut Saul's robe
REPENTANT,How Saul felt temporarily
ZIKLAG,City given to David by Philistines
AMALEKITES,Who raided Ziklag while David was away
RECOVERY,Of David's wives and possessions
BATTLE,Where Saul and Jonathan died
MOUNT,Of Gilboa where Saul died
ARMOR,Of Saul taken by Philistines
BODIES,Of Saul and his sons hung on wall
JABESH,Gileadites who retrieved Saul's body
BURIAL,Of Saul under a tamarisk tree
LAMENTATION,That David sang for Saul and Jonathan
KING,That David became over Judah
HEBRON,Where David first reigned
ISHBOSHETH,Saul's son who reigned over northern tribes
ABNER,Who made Ishbosheth king
ASHEEL,Abner's brother killed by Abner
WAR,Between David's house and Saul's house
GROWN,Stronger while Saul's house grew weaker
MICHAL,David's wife given to another
PHALTIEL,Who wept when Michal was taken
COMPENSATION,That David demanded for Nabal's insult
ABIGAIL,Wife of Nabal who became David's wife
NABAL,Wealthy but foolish man
DEATH,Of Nabal when he heard David was coming
AHINOAM,Another wife of David
WIVES,That David took while in Hebron
SONS,Born to David in Hebron
SIX,Number of sons born in Hebron
CONFEDERACY,Of northern tribes with David
HEBRON,Where all tribes made David king
FORTY,Years that David reigned
THIRTY,Years in Jerusalem after seven in Hebron
JEBUSITES,Original inhabitants of Jerusalem
ZION,Stronghold that David captured
CITY,Of David that he built up
HIRAM,King of Tyre who helped David
PALACE,That David built in Jerusalem
CEDAR,Wood from Lebanon for David's palace
MIGHTY,Men who supported David's kingdom
ARK,Of God that David wanted to bring to Jerusalem
UZZAH,Who died for touching the ark
OBED-EDOM,Where the ark stayed three months
BLESSING,That came to Obed-Edom's house
PROCESSION,When David brought the ark to Jerusalem
DANCING,How David celebrated before the ark
MICHAL,Daughter of Saul who despised David's dancing
HUMILITY,Of David who served as a servant
THRONE,That God established forever
DAVIDIC,Covenant promising eternal kingdom
MESSIAH,Who would come from David's line
DAVID,Man after God's own heart
NATHAN,Prophet who confronted David about Bathsheba
GOLIATH,Philistine giant killed by young David
BETHLEHEM,City where David was born and Jesus would be born
URIAH,Hittite soldier whose death David arranged
ABSALOM,David's son who led a rebellion against him
AMNON,David's son who assaulted his half-sister Tamar
TAMAR,Daughter of David who was wronged by her half-brother
JOAB,David's military commander who killed Absalom
ITTAI,Gittite who remained loyal to David during Absalom's revolt
HUSHAI,David's friend who infiltrated Absalom's court
AHITHOPHEL,Counselor whose advice was like hearing from God
SHIMEI,Man who cursed David and threw stones at him
ZIBA,Servant of Mephibosheth who accused his master
MEPHIBOSHETH,Jonathan's lame son shown kindness by David
ADONIJAH,David's son who tried to seize the throne
BATHSHEBA,Mother of Solomon who became David's queen
SOLOMON,David's son who inherited the throne
GIBEONITES,People Saul had wronged who demanded justice
RIZPAH,Concubine who protected her sons' bodies from birds
JOASH,Child king hidden in the temple from Athaliah
ATHALIAH,Wicked queen who tried to destroy the royal line
JEHOIADA,Priest who protected Joash and overthrew Athaliah
AHAZIAH,King of Judah killed by Jehu
JEHORAM,King of Judah who married Athaliah
AHAZ,King who received the Immanuel prophecy
HEZEKIAH,King who was healed and saw the shadow go back
MANASSEH,King who reigned longest but did much evil
JOSIAH,Boy king who found the book of the law
HULDAH,Prophetess who confirmed the book's authenticity
JEREMIAH,Prophet who wept over Jerusalem's destruction
