answer,clue
FLOOD,"From dragon mouth (Revelation 12:15)"
WILDERNESS,"Woman fled prepared (Revelation 12:6)"
SEVENOFFSPRING,"Male child rule nations (Revelation 12:5)"
BEASTSEA,"From sea blasphemes (Revelation 13:1)"
FATAL,"Wound healed wonder (Revelation 13:3)"
MARK,"666 on right hand (Revelation 13:16)"
IMAGE,"Speaks causes worship (Revelation 13:15)"
LAMBHORNED,"Like lamb speaks dragon (Revelation 13:11)"
FIRE,"From heaven in sight (Revelation 13:13)"
HARVEST,"Earth reaped angels (Revelation 14:15)"
GRAPES,"Wrath tread winepress (Revelation 14:19)"
BOWLS,"Seven of wrath plagues (Revelation 15:7)"
TABERNACLE,"Of testimony opened (Revelation 15:5)"
SORE,"First bowl grievous (Revelation 16:2)"
SEA,"Blood as dead second (Revelation 16:3)"
RIVERS,"Blood third bowl (Revelation 16:4)"
SUN,"Scorch men fourth (Revelation 16:8)"
THRONE,"Darkness fifth bowl (Revelation 16:10)"
ARMAGEDDON,"Kings gather sixth (Revelation 16:16)"
AIR,"Foul spirits unclean (Revelation 16:13)"
BABYLON,"Fallen great city (Revelation 18:2)"
PROSTITUTE,"Drunk with saints blood (Revelation 17:6)"
SCARLET,"Beast woman rides (Revelation 17:3)"
GOLD,"Cup abominations (Revelation 17:4)"
SEVENHILLS,"Woman sits upon (Revelation 17:9)"
HORNS,"Ten kings give power (Revelation 17:12)"
NEW,"Heaven earth song (Revelation 21:1)"
JERUSALEM,"Holy city bride (Revelation 21:2)"
GATE,"Twelve pearl each (Revelation 21:21)"
FOUNDATION,"Twelve jasper etc (Revelation 21:14)"
GLORY,"God's fills city (Revelation 21:11)"
RIVER,"Water life clear (Revelation 21:1)"
TREEOF LIFE,"Twelve fruits monthly (Revelation 22:2)"
THRONEHIGH,"God's and Lamb center (Revelation 22:3)"
ALPHAOMEGA,"Last word beginning (Revelation 22:13)"
COMING,"Soon I am (Revelation 22:20)"
EVEN,"So be it (Revelation 22:20)"
SERVANT,"Bond of churches (Revelation 1:1)"
TESTIMONY,"Word of God given (Revelation 1:2)"
PATRIENCE,"Of Jesus saints (Revelation 1:9)"
PRIESTS,"Made kingdom (Revelation 1:6)"
FIRSTBEGOTTEN,"Dead first (Revelation 1:5)"
LOOSE,"Graves opened (Revelation 1:18)"
ALIVE,"Evermore (Revelation 1:18)"
ANGEL,"Strong one book ate (Revelation 10:2)"
LITTLE,"Scroll sweet bitter (Revelation 10:10)"
WOE,"Third remaining (Revelation 12:12)"
HOUR,"Judgment come (Revelation 14:7)"
FEAR,"God give glory (Revelation 14:7)"
WORSHIP,"Creator day (Revelation 14:7)"
SICKLE,"Sharp reaper (Revelation 14:14)"
VINTAGE,"Of earth grapes (Revelation 14:18)"
WRATH,"Full cup poured (Revelation 14:10)"
SMOKE,"Torment ascends (Revelation 14:11)"
NATIONS,"Healed leaves tree (Revelation 22:2)"
CURSE,"No more temple (Revelation 22:3)"
FACE,"See his servants (Revelation 22:4)"
NAME,"Forehead written (Revelation 22:4)"
LIGHT,"No need sun lamp (Revelation 22:5)"
LAMB,"Lamp of city (Revelation 22:5)"
SERVANTS,"Reign forever (Revelation 22:5)"
REVELATION,"Of Jesus Christ (Revelation 1:1)"
CHURCHES,"Seven golden lampstands (Revelation 1:20)"
MESSENGER,"Angel of church (Revelation 2:1)"
CROWN,"Life overcomer (Revelation 2:10)"
HIDDEN,"Manna white stone (Revelation 2:17)"
MORNING,"Star overcomer (Revelation 2:28)"
SYNAGOGUE,"Of Satan claimed (Revelation 2:9)"
ANTITHRONE,"Where Satan dwells (Revelation 3:21)"
VICTOR,"Sit with me throne (Revelation 3:21)"
RIGHTHAND,"Seven stars held (Revelation 1:20)"
SHARP,"Two-edged sword mouth (Revelation 1:16)"
FEET,"Like burnished brass (Revelation 1:15)"
HAIR,"White like wool (Revelation 1:14)"
EYES,"Flame of fire (Revelation 1:14)"
VOICE,"Waters many (Revelation 1:15)"
PRINCE,"Of kings earth (Revelation 1:5)"
WASHED,"Sins in blood (Revelation 1:5)"
COMING,"With clouds (Revelation 1:7)"
PIERCED,"Tribes mourn (Revelation 1:7)"
TRIBES,"Of earth see (Revelation 1:7)"
HEWHOIS,"And was is come (Revelation 1:8)"
ALMIGHTY,"Says Lord God (Revelation 1:8)"
TOGETHER,"Called up to God (Revelation 4:1)"
DOOR,"Open in heaven (Revelation 4:1)"
VOICE,"Trumpet speaking (Revelation 4:1)"
RAINBOW,"Round throne emerald (Revelation 4:3)"
LIGHTNING,"From throne proceed (Revelation 4:5)"
THUNDER,"From throne voices (Revelation 4:5)"
GLASSS,"Sea before throne (Revelation 4:6)"
FOUR,"Living creatures full eyes (Revelation 4:6)"
LION,"First creature face (Revelation 4:7)"
CALF,"Second creature like (Revelation 4:7)"
MAN,"Third creature face (Revelation 4:7)"
EAGLE,"Fourth flying face (Revelation 4:7)"
WINGS,"Six each creature (Revelation 4:8)"
HOLY,"Thrice called (Revelation 4:8)"
LIVING,"Creature full eyes (Revelation 4:8)"
CREATURES,"Rest not day night (Revelation 4:8)"
POWER,"And riches wisdom (Revelation 5:12)"
STRENGTH,"And honor blessing (Revelation 5:12)"
WISDOM,"Blessing to him (Revelation 5:12)"
HONOR,"To Lamb forever (Revelation 5:13)"
BLESSING,"Every creature heaven (Revelation 5:13)"
FOUNDER,"Of earth sea (Revelation 5:13)"
SEA,"Creatures bless Lamb (Revelation 5:13)"
EARTH,"Things in give glory (Revelation 5:13)"
GLORY,"To sitting throne (Revelation 5:13)"
SITTING,"On throne forever (Revelation 5:13)"
FOREVER,"Blessing endures (Revelation 5:14)"
WEEPING,"For no opener scroll (Revelation 5:4)"
SLAIN,"Lamb as (Revelation 5:6)"
HORN,"Seven on Lamb (Revelation 5:6)"
EYES,"Seven Spirits sent (Revelation 5:6)"
BLOOD,"Redeemed by to God (Revelation 5:9)"
KINDS,"Every tongue people (Revelation 5:9)"
PEOPLE,"Redeemed to God (Revelation 5:9)"
TONGUE,"Every kindred (Revelation 5:9)"
KINSMEN,"From every nation (Revelation 5:9)"
NATION,"Kings earth made (Revelation 5:10)"
KINGS,"Priests to God (Revelation 5:10)"
PRIESTS,"Reign on earth (Revelation 5:10)"
REIGN,"Thousand years saints (Revelation 20:6)"
BOOK,"Little sweet bitter (Revelation 10:9)"
SWEET,"As honey in mouth (Revelation 10:9)"
BITTER,"In belly book (Revelation 10:10)"
PROPHESY,"Again with witnesses (Revelation 10:11)"
MEASURE,"Reed like rod (Revelation 11:1)"
ALTAR,"Souls under (Revelation 6:9)"
COURT,"Outer given Gentiles (Revelation 11:2)"
GENTILES,"Tread city 42 months (Revelation 11:2)"
MONTHS,"1260 witnesses prophesy (Revelation 11:3)"
SACKCLOTH,"Witnesses clothed (Revelation 11:3)"
TREES,"Two olive (Revelation 11:4)"
MEN,"Third killed woe (Revelation 9:18)"
HOURDAYMONTHYEAR,"Slay third men (Revelation 9:15)"
KILLED,"By smoke brimstone (Revelation 9:18)"
BRIMSTONE,"Torment smoke (Revelation 9:17)"
SMOKE,"Out nostrils horses (Revelation 9:18)"
HORSES,"Tails like serpents (Revelation 9:19)"
SERPENTS,"Hurt with stings (Revelation 9:19)"
STINGS,"Six months torment (Revelation 9:5)"
TORMENT,"Seek death not find (Revelation 9:6)"
DEATH,"Fled from men (Revelation 9:6)"
SCORPIONS,"Like power locusts (Revelation 9:3)"
POWER,"Five months torment (Revelation 9:10)"
CROWN,"On locust heads (Revelation 9:7)"
HEADS,"Locusts like gold (Revelation 9:7)"
GOLD,"Faces of men (Revelation 9:7)"
TEETH,"Lions locusts (Revelation 9:8)"
HAIR,"Women locusts (Revelation 9:8)"
BREASTPLATES,"Iron locusts (Revelation 9:9)"
SOUND,"Wings chariots (Revelation 9:9)"
KING,"Abaddon locusts (Revelation 9:11)"
BOTTOMLESS,"Pit opened star (Revelation 9:1)"
STAR,"Fell given key (Revelation 9:1)"
KEY,"Pit given to star (Revelation 9:1)"
PIT,"Smoke as furnace (Revelation 9:2)"
SUN,"Darkened smoke pit (Revelation 9:2)"
AIR,"Darkened smoke (Revelation 9:2)"
DARKENED,"Locusts from smoke (Revelation 9:3)"
GRASS,"Not hurt only trees (Revelation 9:4)"
TREES,"Green not hurt (Revelation 9:4)"
HURT,"Only men no seal (Revelation 9:4)"
SEAL,"Of God foreheads (Revelation 7:3)"
FOREFRONT,"Hurt not olive (Revelation 9:4)"
OLIVETREES,"Nor fig spared (Revelation 9:4)"
FIGTREE,"All green grass (Revelation 9:4)"
FORGED,"By fire hail blood (Revelation 8:7)"
GREEN,"Third trees burned (Revelation 8:7)"
BURNED,"Third earth trees (Revelation 8:7)"
BLOOD,"Sea became third (Revelation 8:7)"
FIRE,"Hail mingled blood (Revelation 8:7)"
THIRD,"Ships destroyed sea (Revelation 8:9)"
SHIPS,"Men sea died (Revelation 8:9)"
DIED,"Souls under altar (Revelation 6:9)"
LIFE,"Blood cries earth (Revelation 6:10)"
VENGEANCE,"Shed blood avenged (Revelation 6:10)"
AVENGED,"Slay fourth part (Revelation 6:8)"
SWORD,"Hunger death beasts (Revelation 6:8)"
HUNGER,"Men seek in rocks (Revelation 6:16)"
BEASTS,"Earth power given (Revelation 6:8)"
POWER,"Over fourth earth (Revelation 6:8)"
FOURTH,"Part earth killed (Revelation 6:8)"
HADES,"Followed pale horse (Revelation 6:8)"
PALEHORSE,"Death on it (Revelation 6:8)"
DEATH,"On pale horse (Revelation 6:8)"
SCALES,"In black rider hand (Revelation 6:5)"
BLACKHORSE,"Third woe (Revelation 6:5)"
CHARIOT,"Sound wings as (Revelation 9:9)"
RIDER,"On black measure (Revelation 6:5)"
MEASURE,"Wheat penny (Revelation 6:6)"
PENNY,"Denarius for barley (Revelation 6:6)"
BARLEY,"Three measures hurt (Revelation 6:6)"
HURT,"Oil wine not (Revelation 6:6)"
OIL,"Wine spared famine (Revelation 6:6)"
FAMINE,"Follows black horse (Revelation 6:5)"
PEACE,"Taken earth red (Revelation 6:4)"
REDHORSE,"Slay one another (Revelation 6:4)"
GREAT,"Sword given rider (Revelation 6:4)"
SWORD,"Red horse rider (Revelation 6:4)"
BOW,"White horse rider (Revelation 6:2)"
CROWN,"White rider given (Revelation 6:2)"
VICTORY,"Conquer white horse (Revelation 6:2)"
WHITEHORSE,"Goes conquering (Revelation 6:2)"
CONQUER,"White rider purpose (Revelation 6:2)"
LAMBOPENED,"First seal (Revelation 6:1)"
SEALOPEN,"Voice as thunder (Revelation 6:1)"
THUNDER,"Come see rider (Revelation 6:1)"
FOURBEASTS,"Saying come (Revelation 6:1)"
BEASTSAY,"Living creature (Revelation 6:1)"
CREATURECALL,"First living beast (Revelation 6:1)"
LIVINGBEAST,"Like lion voice (Revelation 6:2)"
ASALION,"Voice first beast (Revelation 6:2)"
GOFORTH,"White horse rider (Revelation 6:2)"
RIDERSEE,"Conqueror on white (Revelation 6:2)"
OVERCOME,"To conquer more (Revelation 6:2)"
ANDTO,"White horse task (Revelation 6:2)"
MORE,"Conquering rider (Revelation 6:2)"
TWELVE,"Tribes sealed (Revelation 7:5)"
TRIBES,"Of Israel sealed (Revelation 7:4)"
ISRAEL,"144000 sealed (Revelation 7:4)"
SEALED,"Servants foreheads (Revelation 7:3)"
SERVANTS,"Of God sealed (Revelation 7:3)"
FOREHEADS,"Sealed servants (Revelation 7:3)"
HURT,"Earth sea tree (Revelation 7:3)"
NOTILL,"Sealed servants (Revelation 7:3)"
TREE,"Sea air hurt (Revelation 7:3)"
AIR,"Not hurt till sealed (Revelation 7:3)"
FOURANGELS,"Holding winds earth (Revelation 7:1)"
WINDS,"Four corners held (Revelation 7:1)"
CORNERS,"Of earth angels (Revelation 7:1)"
EARTHWINDS,"Sea tree air (Revelation 7:1)"
ANGELSSTAND,"On four corners (Revelation 7:1)"
SUNRISE,"Angel ascending (Revelation 7:2)"
ASCENDING,"From east angel (Revelation 7:2)"
EAST,"Angel cry loud (Revelation 7:2)"
CRYLoud,"Hurt not earth (Revelation 7:2)"
LOUDVOICE,"Angel from east (Revelation 7:2)"
SEALGOD,"Living on forehead (Revelation 7:2)"
LIVINGGOD,"Seal servants (Revelation 7:2)"
ONE,"Hundred forty four (Revelation 7:5)"
THOUSAND,"Sealed of Judah (Revelation 7:5)"
JUDAH,"Tribe first sealed (Revelation 7:5)"
REUBEN,"Tribe second (Revelation 7:5)"
GAD,"Third tribe sealed (Revelation 7:5)"
ASHER,"Fourth sealed tribe (Revelation 7:6)"
NAPHTALI,"Fifth tribe (Revelation 7:6)"
MANASSEH,"Sixth sealed (Revelation 7:6)"
SIMEON,"Seventh tribe (Revelation 7:7)"
LEVI,"Eighth sealed (Revelation 7:7)"
ISSACHAR,"Ninth tribe (Revelation 7:7)"
ZEBULUN,"Tenth sealed (Revelation 7:7)"
JOSEPH,"Eleventh tribe (Revelation 7:8)"
BENJAMIN,"Last tribe sealed (Revelation 7:8)"
GREATMULTITUDE,"Stood before throne (Revelation 7:9)"
STOOD,"Clothed white robes (Revelation 7:9)"
ROBESWHITE,"Palms in hands (Revelation 7:9)"
PALMS,"Shout salvation (Revelation 7:10)"
SALVATION,"To God throne (Revelation 7:10)"
GODTHRONE,"Blessing honor (Revelation 7:12)"
HONOR,"Glory power wisdom (Revelation 7:12)"
GLORYPOWER,"Thanks be to God (Revelation 7:12)"
THANKS,"To our God (Revelation 7:12)"
ELDERGREAT,"Which tribe (Revelation 7:13)"
TRIBE,"Of Israel these (Revelation 7:14)"
OUTOF,"Great tribulation came (Revelation 7:14)"
TRIBULATION,"Washed robes blood (Revelation 7:14)"
BLOODLAMB,"Before throne serve (Revelation 7:15)"
SERVEGOD,"Day night temple (Revelation 7:15)"
TEMPLEGOD,"His face no hunger (Revelation 7:16)"
HUNGER,"Thirst no more (Revelation 7:16)"
THIRST,"Sun no light (Revelation 7:16)"
SUNLIGHT,"No more on them (Revelation 7:16)"
LAMBFEED,"In midst throne (Revelation 7:17)"
SHEPHERD,"Lead to springs (Revelation 7:17)"
SPRINGS,"Of water life (Revelation 7:17)"
GODWIPE,"Tears from eyes (Revelation 7:17)"
TEARS,"No more death (Revelation 21:4)"
SILENCEHEAVEN,"Half hour followed (Revelation 8:1)"
FOLLOWED,"Seventh seal opened (Revelation 8:1)"
SEVENTHSEAL,"Seven angels trumpets (Revelation 8:2)"
ANGELSTOO,"Trumpets given them (Revelation 8:2)"
GIVEN,"Golden censer altar (Revelation 8:3)"
CENSER,"Much incense saints (Revelation 8:3)"
INCENSEMUCH,"Prayers all saints (Revelation 8:3)"
PRAYERS,"Upon golden altar (Revelation 8:3)"
ALTARFIRE,"Cast to earth (Revelation 8:5)"
FIRECAST,"Voices thunders (Revelation 8:5)"
VOICES,"Lightnings earthquake (Revelation 8:5)"
LIGHTNINGS,"Great earthquake seventh (Revelation 11:19)"
EARTHQUAKES,"Small great city (Revelation 11:13)"
CITYFELL,"Tenth part down (Revelation 11:13)"
DOWN,"Seven thousand slain (Revelation 11:13)"
SLAIN,"Men gave glory God (Revelation 11:13)"
GLORYGOD,"Second woe past (Revelation 11:14)"
WOEPAST,"Third woe quick (Revelation 11:14)"
QUICKLY,"Come great voices (Revelation 11:15)"
VOICESGREAT,"In heaven kingdom (Revelation 11:15)"
KINGDOM,"World Lord's Christ (Revelation 11:15)"
CHRISTREIGN,"Forever and ever (Revelation 11:15)"
ELDERSTHANKS,"God most high (Revelation 11:17)"
MOSTHIGH,"Power to reign (Revelation 11:17)"
REIGNA,"Nations angry wrath (Revelation 11:18)"
NATIONSANGRY,"Thy servants prophets (Revelation 11:18)"
PROPHETS,"Saints small great (Revelation 11:18)"
SAINTS,"Destroy destroyers earth (Revelation 11:18)"
DESTROY,"Temple heaven opened (Revelation 11:19)"
OPENED,"Ark covenant seen (Revelation 11:19)"
ARKSEEN,"Lightnings voices (Revelation 11:19)"
VOICESLIGHTNING,"Thunders earthquake hail (Revelation 11:19)"
HAIL,"Great star burning (Revelation 8:10)"
STARFALL,"Many waters named (Revelation 8:11)"
NAMED,"Wormwood bitter (Revelation 8:11)"
BITTERWORMWOOD,"Men died waters (Revelation 8:11)"
DIEDWATERS,"Third rivers springs (Revelation 8:10)"
SPRINGSRIVERS,"Fell from heaven (Revelation 8:10)"
HEAVENFELL,"As lamp burning (Revelation 8:10)"
LAMPTORCH,"Burning mountain sea (Revelation 8:8)"
MOUNTAINBURN,"Cast into sea (Revelation 8:8)"
SEABLOOD,"Third sea blood (Revelation 8:8)"
BLOODTHIRD,"Creatures sea died (Revelation 8:9)"
CREATURES,"Third ships destroyed (Revelation 8:9)"
SHIPSDIED,"Angel sounded second (Revelation 8:8)"
SOUNDED,"Like mountain fire (Revelation 8:8)"
FIREMOUNTAIN,"Great eagle fly (Revelation 8:13)"
EAGLEFLY,"Mid heaven woe (Revelation 8:13)"
MIDHEAVEN,"Woe to inhabiters (Revelation 8:13)"
INHABITERS,"Earth other trumpets (Revelation 8:13)"
TRUMPETS,"Angel sounded third (Revelation 8:10)"
THIRDSOUNDED,"Wormwood star fell (Revelation 8:10)"
FELLSTAR,"Hail fire blood (Revelation 8:7)"
BLOODFIRE,"Cast upon earth (Revelation 8:7)"
EARTHCAST,"Third trees burned (Revelation 8:7)"
TREESBURNED,"Third green grass (Revelation 8:7)"
GRASSGREEN,"Angel stood altar (Revelation 8:3)"
ALTARSTOOD,"Golden censer given (Revelation 8:3)"
CENSERGIVEN,"Minister before God (Revelation 8:3)"
GODMINISTER,"Another mighty angel (Revelation 10:1)"
ANGELMIGHTY,"Cloud rainbow head (Revelation 10:1)"
RAINBOWCLOUD,"Pillar fire feet (Revelation 10:1)"
FIREPILLAR,"Face sun legs (Revelation 10:1)"
SUNFACE,"Little book open (Revelation 10:2)"
BOOKOPEN,"Set foot sea (Revelation 10:2)"
SEAFoot,"Earth roared lion (Revelation 10:3)"
LIONROARED,"Seven thunders uttered (Revelation 10:3)"
THUNDERSSEVEN,"Voices seal (Revelation 10:4)"
SEALED,"No write voices (Revelation 10:4)"
WRITENOT,"Time no delay (Revelation 10:6)"
DELAYNO,"Swore by creator (Revelation 10:6)"
CREATORSWARE,"Book eat belly (Revelation 10:9)"
EATBOOK,"Sweet honey mouth (Revelation 10:9)"
MOUTHONEY,"Bitter belly prophet (Revelation 10:10)"
PROPHETBITTER,"Must prophesy again (Revelation 10:11)"
AGAINPROPHESY,"Peoples nations tongues (Revelation 10:11)"
TONGUESNATIONS,"Two witnesses prophesy (Revelation 11:3)"
WITNESSTWO,"1260 days clothed (Revelation 11:3)"
DAYS1260,"Sackcloth hair (Revelation 11:3)"
HAIRSACK,"My two olive trees (Revelation 11:4)"
TREESOLIVE,"Two candlesticks stand (Revelation 11:4)"
CANDLESTANDS,"Before God earth (Revelation 11:4)"
EARTHGOD,"Fire from mouth (Revelation 11:5)"
MOUTHFIRE,"Devour enemies (Revelation 11:5)"
ENEMIESDEVOUR,"If hurt fire out (Revelation 11:5)"
FIREHURT,"Rain withheld heaven (Revelation 11:6)"
HEAVENRAIN,"Turn waters blood (Revelation 11:6)"
BLOODWATERS,"Smite earth plagues (Revelation 11:6)"
PLAGUESMIT,"As often will (Revelation 11:6)"
WILLOFTEN,"Beast ascend abyss (Revelation 11:7)"
ABYSSASCEND,"Make war witnesses (Revelation 11:7)"
WARMAKE,"Kill them street (Revelation 11:7)"
STREETKILL,"Great city spiritually (Revelation 11:8)"
CITYGREAT,"Sodom Egypt called (Revelation 11:8)"
EGYPTSODOM,"Where Lord crucified (Revelation 11:8)"
CRUCIFIEDLORD,"Their dead bodies (Revelation 11:8)"
BODIESDEAD,"Lie street great (Revelation 11:8)"
GREATSTREET,"City see not (Revelation 11:9)"
SEENOT,"Three days half (Revelation 11:9)"
DAYSHALF,"Three bodies lie (Revelation 11:9)"
LIEBODIES,"Nations tribes tongues (Revelation 11:9)"
TRIBESNATIONS,"See dead bodies (Revelation 11:9)"
BODIESSEE,"Not put graves (Revelation 11:9)"
GRAVESPUT,"Inhabitants earth rejoice (Revelation 11:10)"
EARTHINHABIT,"Send gifts merry (Revelation 11:10)"
MERRYGIFTS,"Tormented prophets (Revelation 11:10)"
PROPHETSTORMENT,"Beast hated them (Revelation 11:10)"
THEMHATED,"Great voice heaven (Revelation 11:12)"
HEAVENVOICE,"Come up hither (Revelation 11:12)"
HITHERUP,"Ascend cloud enemies (Revelation 11:12)"
ENEMIESCLOUD,"Behold earthquake great (Revelation 11:13)"
GREATQUAKE,"Tenth city fell (Revelation 11:13)"
FELLTENTH,"Names seven thousand (Revelation 11:13)"
THOUSANDSEVEN,"Slain earthquake (Revelation 11:13)"
EARTHQUAKESLAIN,"Rest afraid gave (Revelation 11:13)"
GAVEAFRAID,"Glory to God (Revelation 11:13)"
GODGLORY,"Third woe cometh (Revelation 11:14)"
COMETHWOE,"Quickly seventh angel (Revelation 11:15)"
ANGELSEVENTH,"Trumpet seventh sounded (Revelation 11:15)"
SOUNDEDTRUMPET,"Kingdoms our Lord (Revelation 11:15)"
LORDKINGDOMS,"He reign forever (Revelation 11:15)"
FOREVERREIGN,"Twenty four elders (Revelation 11:16)"
ELDERSTWENTY,"Fell prostrate worshipped (Revelation 11:16)"
WORSHIPPEDPROSTRATE,"God Almighty (Revelation 11:17)"
ALMIGHTYGOD,"Art to come (Revelation 11:17)"
COMEARTH,"Reigned now (Revelation 11:17)"
NOWREIGNED,"Nations wroth thy (Revelation 11:18)"
THYWROTH,"Wrath come time (Revelation 11:18)"
TIMEWRATH,"Dead judged (Revelation 11:18)"
JUDGEDDEAD,"Reward servants prophets (Revelation 11:18)"
PROPHETSSERVANTS,"Saints great small (Revelation 11:18)"
SMALLGREAT,"Corrupt earth destroyed (Revelation 11:18)"
DESTROYEDCORRUPT,"Temple God opened (Revelation 11:19)"
GODTEMPLE,"Heaven ark covenant (Revelation 11:19)"
COVENANTARK,"Noises lightnings (Revelation 11:19)"
LIGHTNINGSNOISES,"Thunders earthquake great (Revelation 11:19)"
GREATEARTHQUAKE,"Hail great followed (Revelation 11:19)"
FOLLOWEDHAIL,"Sign great woman (Revelation 12:1)"
WOMANGREAT,"Clothed sun moon (Revelation 12:1)"
MOONSUN,"Stars under feet (Revelation 12:1)"
FEETSTARS,"Crown twelve stars (Revelation 12:1)"
STARSCROWN,"Wilderness prepared place (Revelation 12:6)"
PLACEREPERED,"1260 days there (Revelation 12:6)"
THEREDAYS,"Child male born (Revelation 12:5)"
BORNMALE,"Rod iron rule (Revelation 12:5)"
RULEIRON,"Caught up God throne (Revelation 12:5)"
THRONEGOD,"Dragon great red (Revelation 12:3)"
REDGREAT,"Seven heads diadems (Revelation 12:3)"
DIademsHEADS,"Horns ten seven (Revelation 12:3)"
SEVENTEN,"Tail drew stars (Revelation 12:4)"
STARS DREW,"Third heaven cast (Revelation 12:4)"
CASTHEAVEN,"Devour child woman (Revelation 12:4)"
WOMANCHILD,"Brought forth man (Revelation 12:5)"
MANFORTH,"She fled wilderness (Revelation 12:6)"
WILDERNESSFLED,"Two wings eagle (Revelation 12:14)"
EAGLEWINGS,"Great eagle given (Revelation 12:14)"
GIVEN EAGLE,"Heaven place nourished (Revelation 12:14)"
NOURISHEDPLACE,"Time times half (Revelation 12:14)"
HALFTIMES,"Dragon pursued woman (Revelation 12:13)"
WOMANPURSUED,"Earth helped woman (Revelation 12:16)"
WOMANHELPED,"Opened mouth earth (Revelation 12:16)"
EARTHMOUTH,"Swallowed flood dragon (Revelation 12:16)"
DRAGONFLOOD,"Poured water mouth (Revelation 12:15)"
MOUTHWATER,"As river flood (Revelation 12:15)"
FLOODRIVER,"Dragon wroth woman (Revelation 12:17)"
WOMANWROTH,"Went make war remnant (Revelation 12:17)"
REMANTHWAR,"Seed keep commandments (Revelation 12:17)"
